	movie	rating	release	age_10	age_6	age_3	age_1
252	Willy Wonka & the Chocolate Factory	7.4	1971-06-29	-1	35.25	38.63333333333333	38.1
253	Live and Let Die	6.4	1973-07-05	43.239999999999995	41.65	34.63333333333333	45.8
254	King Kong	6.6	2005-12-12	-1	36.550000000000004	35.4	37.2
257	Oliver Twist	6.6	2005-09-23	-1	38.85	40.5	12.3
260	The 39 Steps	7.4	1935-06-01	-1	35.333333333333336	31.866666666666664	30.2
262	The King of Comedy	7.6	1982-12-18	-1	44.61666666666667	44.633333333333326	39.4
268	Batman	7.0	1989-06-23	51.94	52.56666666666666	41.86666666666667	52.2
269	Breathless	7.8	1960-03-16	-1	32.01666666666667	28.866666666666664	27.0
272	Batman Begins	7.5	2005-06-10	49.22	43.26666666666667	52.23333333333333	31.4
274	The Silence of the Lambs	8.1	1991-02-01	40.309999999999995	39.199999999999996	43.76666666666667	28.2
275	Fargo	7.8	1996-04-05	-1	44.88333333333333	41.06666666666667	46.1
277	Underworld	6.6	2003-09-19	35.08	38.75	30.96666666666667	30.2
278	The Shawshank Redemption	8.5	1994-09-23	45.44	48.13333333333333	47.43333333333334	36.0
279	Amadeus	7.8	1984-10-26	-1	37.833333333333336	32.800000000000004	45.0
280	Terminator 2: Judgment Day	7.7	1991-07-01	-1	35.800000000000004	37.166666666666664	44.0
281	Strange Days	6.8	1995-10-13	32.949999999999996	33.56666666666667	34.63333333333333	32.8
284	The Apartment	8.1	1960-06-15	36.480000000000004	40.166666666666664	37.8	35.4
285	Pirates of the Caribbean: At World's End	7.0	2007-05-19	44.31	43.68333333333334	32.2	44.0
288	High Noon	7.6	1952-03-27	42.07	44.5	44.333333333333336	50.9
289	Casablanca	8.0	1942-11-26	43.66	45.18333333333334	35.03333333333333	42.9
290	Barton Fink	7.3	1991-08-01	42.42	41.46666666666666	36.6	34.4
293	A River Runs Through It	7.0	1992-10-09	-1	40.61666666666667	40.166666666666664	28.8
296	Terminator 3: Rise of the Machines	5.9	2003-07-02	-1	33.666666666666664	34.6	56.0
297	Meet Joe Black	6.9	1998-11-12	-1	41.849999999999994	40.9	34.9
298	Ocean's Thirteen	6.5	2007-06-07	48.480000000000004	49.06666666666666	42.1	46.1
300	The Science of Sleep	6.9	2006-02-11	-1	38.199999999999996	39.266666666666666	27.2
301	Rio Bravo	7.7	1959-03-17	39.62	43.449999999999996	37.5	51.8
303	Notorious	7.8	1946-08-15	-1	50.36666666666667	43.46666666666666	42.6
306	Beverly Hills Cop III	5.6	1994-05-24	43.370000000000005	44.28333333333334	42.56666666666667	33.2
308	Broken Flowers	6.8	2005-05-17	-1	46.25	45.76666666666667	54.7
309	The Celebration	7.7	1998-05-20	-1	41.6	46.26666666666667	34.5
310	Bruce Almighty	6.5	2003-05-23	-1	43.800000000000004	49.133333333333326	41.4
311	Once Upon a Time in America	8.3	1984-02-16	38.51	37.550000000000004	33.333333333333336	40.5
314	Catwoman	4.3	2004-07-22	40.349999999999994	42.53333333333333	41.666666666666664	38.0
319	True Romance	7.5	1993-09-09	35.690000000000005	33.36666666666667	24.333333333333332	24.1
320	Insomnia	6.8	2002-05-24	44.03	42.50000000000001	46.93333333333334	62.1
322	Mystic River	7.6	2003-10-07	42.779999999999994	43.26666666666666	44.5	43.2
326	Snakes on a Plane	5.1	2006-08-06	37.25	36.550000000000004	42.06666666666667	57.7
329	Jurassic Park	7.6	1993-06-11	37.69	46.03333333333333	37.63333333333333	45.8
330	The Lost World: Jurassic Park	6.2	1997-05-23	37.17999999999999	46.166666666666664	44.46666666666666	44.6
331	Jurassic Park III	5.7	2001-07-18	40.67999999999999	38.9	46.9	53.9
332	Inspector Gadget	4.3	1999-07-23	40.209999999999994	32.28333333333333	36.46666666666666	37.4
334	Magnolia	7.5	1999-12-08	46.33	43.599999999999994	41.13333333333333	39.0
335	Once Upon a Time in the West	8.1	1968-12-21	48.980000000000004	49.050000000000004	46.9	30.7
336	Duck, You Sucker	7.7	1971-10-20	-1	41.93333333333333	45.46666666666667	43.2
338	Good bye, Lenin!	7.4	2003-02-09	42.900000000000006	30.816666666666666	32.800000000000004	24.7
340	Everything is Illuminated	7.4	2005-09-16	-1	-1	28.733333333333334	24.6
343	Harold and Maude	7.7	1971-12-20	-1	48.78333333333333	53.333333333333336	75.2
345	Eyes Wide Shut	7.1	1999-07-14	-1	36.666666666666664	26.36666666666667	37.1
346	Seven Samurai	8.2	1954-04-26	-1	37.550000000000004	39.03333333333334	34.1
348	Alien	7.9	1979-05-25	42.06	40.916666666666664	35.166666666666664	45.8
350	The Devil Wears Prada	7.0	2006-06-30	36.160000000000004	36.11666666666667	34.699999999999996	57.1
364	Batman Returns	6.7	1992-06-19	48.1	52.583333333333336	40.86666666666667	40.8
377	A Nightmare on Elm Street	7.2	1984-11-14	-1	29.23333333333333	36.3	49.3
378	Raising Arizona	7.1	1987-03-01	-1	32.11666666666667	30.433333333333337	23.2
379	Miller's Crossing	7.5	1990-09-21	-1	38.68333333333333	35.03333333333333	33.6
380	Rain Man	7.6	1988-12-11	-1	38.300000000000004	33.36666666666667	51.4
381	To Catch a Thief	7.2	1955-08-03	46.81	45.1	42.666666666666664	51.6
387	Das Boot	8.0	1981-09-16	29.919999999999998	32.15	35.49999999999999	40.3
388	Inside Man	7.3	2006-03-23	44.089999999999996	48.65	45.4	51.3
389	12 Angry Men	8.3	1957-03-25	45.03	40.75000000000001	40.5	51.9
391	A Fistful of Dollars	7.7	1964-09-12	-1	39.93333333333334	32.93333333333334	34.3
392	Chocolat	6.8	2000-12-14	-1	48.46666666666667	40.63333333333333	36.8
393	Kill Bill: Vol. 2	7.7	2004-04-16	45.67999999999999	50.63333333333333	48.26666666666667	34.0
395	AVP: Alien vs. Predator	5.6	2004-08-12	-1	35.31666666666666	32.833333333333336	32.9
396	Who's Afraid of Virginia Woolf?	7.8	1966-06-21	-1	-1	35.76666666666667	34.3
398	Capote	6.9	2005-09-30	-1	35.550000000000004	33.26666666666667	38.2
401	Garden State	7.1	2004-07-28	-1	39.733333333333334	41.800000000000004	29.3
402	Basic Instinct	6.5	1992-03-20	42.480000000000004	39.28333333333334	42.76666666666667	47.5
403	Driving Miss Daisy	7.0	1989-12-13	-1	-1	56.9	52.6
404	The Straight Story	7.7	1999-10-15	-1	-1	-1	79.2
405	La Strada	7.6	1954-07-16	-1	-1	37.56666666666666	39.3
406	La Haine	7.9	1995-05-31	-1	24.866666666666664	24.933333333333334	28.5
408	Snow White and the Seven Dwarfs	6.9	1937-12-20	-1	49.916666666666664	40.833333333333336	21.6
409	The English Patient	7.0	1996-11-14	37.8	34.73333333333333	35.96666666666666	33.9
411	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	6.7	2005-12-07	34.89	26.483333333333334	16.633333333333336	18.6
414	Batman Forever	5.2	1995-06-16	-1	41.55	39.23333333333333	35.5
415	Batman & Robin	4.2	1997-06-20	43.459999999999994	40.24999999999999	37.666666666666664	36.1
421	The Life Aquatic with Steve Zissou	7.1	2004-12-10	47.18	46.85	47.800000000000004	54.3
422	8½	7.9	1963-02-14	-1	30.58333333333333	31.366666666666664	38.4
423	The Pianist	8.1	2002-09-24	-1	43.06666666666666	48.6	29.5
424	Schindler's List	8.3	1993-11-29	-1	36.56666666666667	40.800000000000004	41.5
425	Ice Age	7.1	2002-03-10	37.160000000000004	37.75	42.166666666666664	44.2
426	Vertigo	8.1	1958-05-09	49.739999999999995	44.15	36.9	50.0
429	The Good, the Bad and the Ugly	8.2	1966-12-23	-1	39.28333333333333	43.23333333333333	36.6
431	Cube	6.9	1997-09-09	-1	-1	32.699999999999996	26.7
433	Mary Poppins	7.4	1964-08-27	41.48	44.26666666666666	38.3	28.9
435	The Day After Tomorrow	6.2	2004-05-26	33.39	36.71666666666667	30.433333333333334	50.2
437	Cube²: Hypercube	5.5	2002-04-15	-1	38.016666666666666	30.5	32.1
